time,value
2024-07-29T05:34:49.019781441Z,34
2024-07-29T05:34:50.039942222Z,33
2024-07-29T05:34:51.069945001Z,35
2024-07-29T05:34:55.159819045Z,36
2024-07-29T05:34:57.210917582Z,35
2024-07-29T05:34:58.239774344Z,36
2024-07-29T05:34:59.260003047Z,39
2024-07-29T05:35:00.289912992Z,17
2024-07-29T05:35:01.317810143Z,16
2024-07-29T05:35:02.329784928Z,53
2024-07-29T05:35:03.349971291Z,42
2024-07-29T05:35:04.480841014Z,29
2024-07-29T05:35:05.499975245Z,35
2024-07-29T05:35:06.529823423Z,41
2024-07-29T05:35:07.556894683Z,42
2024-07-29T05:35:08.680421138Z,43
2024-07-29T05:35:09.589937442Z,41
2024-07-29T05:35:11.649908227Z,28
2024-07-29T05:35:12.670067192Z,42
2024-07-29T05:35:13.700326863Z,41
2024-07-29T05:35:14.720097183Z,42
2024-07-29T05:35:15.740599323Z,28
2024-07-29T05:35:16.769792638Z,26
2024-07-29T05:35:17.88975285Z,25
2024-07-29T05:35:18.820032472Z,26
2024-07-29T05:35:19.93988593Z,29
2024-07-29T05:35:21.989888566Z,28
2024-07-29T05:35:23.020078274Z,42
2024-07-29T05:36:22.200150799Z,42
2024-07-29T05:36:27.120324837Z,32
2024-07-29T05:36:37.260403945Z,42
2024-07-29T05:36:42.27067485Z,43
2024-07-29T05:36:47.400208458Z,47
2024-07-29T05:36:52.310433966Z,52
2024-07-29T05:37:55.067205888Z,52
2024-07-29T05:37:56.107346719Z,37
2024-07-29T05:37:57.12709585Z,29
2024-07-29T05:37:58.147143592Z,44
2024-07-29T05:37:59.277745008Z,42
2024-07-29T05:38:01.326975363Z,44
2024-07-29T05:38:03.385223945Z,45
2024-07-29T05:38:04.397210982Z,54
2024-07-29T05:38:05.416976173Z,44
2024-07-29T05:38:06.437437618Z,35
2024-07-29T05:38:07.467079572Z,54
2024-07-29T05:38:08.487531699Z,36
2024-07-29T05:38:09.625079995Z,54
2024-07-29T05:38:10.537089693Z,56
2024-07-29T05:38:13.817204055Z,55
2024-07-29T05:38:17.80717265Z,44
2024-07-29T05:38:18.837308648Z,36
2024-07-29T05:38:19.857262258Z,53
2024-07-29T05:38:20.875820175Z,36
2024-07-29T05:38:21.907631289Z,34
2024-07-29T05:38:22.927321289Z,55
2024-07-29T05:38:46.890322278Z,55
2024-07-29T05:38:48.020862433Z,31
2024-07-29T05:38:48.940779716Z,35
2024-07-29T05:38:49.970149212Z,28
2024-07-29T05:38:50.990174112Z,35
2024-07-29T05:38:52.010787625Z,29
2024-07-29T05:38:53.140576683Z,35
2024-07-29T05:38:54.160531129Z,27
2024-07-29T05:38:55.190612635Z,17
2024-07-29T05:38:56.210395383Z,19
2024-07-29T05:38:57.240561536Z,15
2024-07-29T05:38:58.260751867Z,16
2024-07-29T05:38:59.280450052Z,15
2024-07-29T05:39:00.310312104Z,16
2024-07-29T05:39:04.420272848Z,24
2024-07-29T05:39:05.430139801Z,26
2024-07-29T05:39:06.440228254Z,15
2024-07-29T05:39:09.630314698Z,28
2024-07-29T05:39:10.650106309Z,15
2024-07-29T05:39:11.68341826Z,31
2024-07-29T05:39:12.700250344Z,52
2024-07-29T05:39:13.830450935Z,16
2024-07-29T05:39:14.740362831Z,30
2024-07-29T05:39:15.770087532Z,4
2024-07-29T05:39:16.790601334Z,55
2024-07-29T05:39:17.817194277Z,15
2024-07-29T05:39:18.840351212Z,16
2024-07-29T05:39:21.911305226Z,17
2024-07-29T05:39:22.940615913Z,15
2024-07-29T05:39:23.978288631Z,16
2024-07-29T05:39:24.990686051Z,17
2024-07-29T05:39:27.030082018Z,26
2024-07-29T05:39:28.160789172Z,30
2024-07-29T05:39:29.190089534Z,28
