Gyro_X,Gyro_Y,Gyro_Z,Timestamp
0.00, 0.37, 0.43,2024-08-13 16:06:30
0.92, 1.10, 0.55,2024-08-13 16:06:31
0.43, 0.67, 0.55,2024-08-13 16:06:32
0.00, 0.55, 0.49,2024-08-13 16:06:33
0.43, 0.55, 0.61,2024-08-13 16:06:34
0.12, 2.08, 0.24,2024-08-13 16:06:35
0.12, 0.37, 0.55,2024-08-13 16:06:36
1.28, 1.65, 0.55,2024-08-13 16:06:37
0.67, 0.67, 0.55,2024-08-13 16:06:38
0.67, 0.37, 0.55,2024-08-13 16:06:39
1.95, 0.31, 0.85,2024-08-13 16:06:40
-0.18, 0.49, 0.55,2024-08-13 16:06:41
0.92, 0.18, 0.73,2024-08-13 16:06:42
1.22, 1.22, 0.49,2024-08-13 16:06:43
-3.66, -2.20, 0.61,2024-08-13 16:06:44
0.24, 0.49, 0.61,2024-08-13 16:06:45
0.24, 0.49, 0.61,2024-08-13 16:06:46
0.43, 0.61, 0.61,2024-08-13 16:06:47
-4.03, 0.00, -0.67,2024-08-13 16:06:48
0.00, 0.43, 0.55,2024-08-13 16:06:49
0.31, 0.18, 0.61,2024-08-13 16:06:50
-0.24, 0.31, 0.49,2024-08-13 16:06:51
-0.06, 0.18, 0.55,2024-08-13 16:06:52
0.12, 0.43, 0.43,2024-08-13 16:06:53
-0.18, 0.12, 0.49,2024-08-13 16:06:54
-0.12, 0.18, 0.55,2024-08-13 16:06:55
1.65, 1.10, 0.61,2024-08-13 16:06:56
0.73, 0.85, 0.55,2024-08-13 16:06:57
1.53, 1.22, 0.73,2024-08-13 16:06:58
0.37, 0.55, 0.61,2024-08-13 16:06:59
0.06, 0.43, 0.55,2024-08-13 16:07:00
0.24, 0.37, 0.61,2024-08-13 16:07:01
0.31, 0.43, 0.61,2024-08-13 16:07:02
-0.06, 0.24, 0.55,2024-08-13 16:07:03
0.37, 0.49, 0.55,2024-08-13 16:07:04
0.43, 0.61, 0.61,2024-08-13 16:07:05
-0.24, 0.55, 0.55,2024-08-13 16:07:06
-0.24, 0.55, 0.37,2024-08-13 16:07:07
-0.92, -0.49, 0.67,2024-08-13 16:07:08
0.61, 0.79, 0.55,2024-08-13 16:07:09
-0.73, -0.18, 0.55,2024-08-13 16:07:10
-0.06, 0.49, 0.61,2024-08-13 16:07:11
0.49, 0.24, 0.61,2024-08-13 16:07:12
1.34, 1.04, 0.67,2024-08-13 16:07:13
2.38, 1.28, 0.85,2024-08-13 16:07:14
-2.08, -0.37, 0.24,2024-08-13 16:07:15
1.34, 0.37, 0.73,2024-08-13 16:07:16
-0.61, -0.18, 0.61,2024-08-13 16:07:17
0.37, 0.55, 0.55,2024-08-13 16:07:18
0.31, 0.49, 0.55,2024-08-13 16:07:19
0.37, 0.43, 0.61,2024-08-13 16:07:20
0.37, 0.61, 0.55,2024-08-13 16:07:21
1.34, 0.92, 0.61,2024-08-13 16:07:22
0.12, 0.55, 0.55,2024-08-13 16:07:23
0.67, 0.73, 0.55,2024-08-13 16:07:24
-0.12, 0.49, 0.43,2024-08-13 16:07:25
0.18, 0.18, 0.67,2024-08-13 16:07:26
0.43, 0.61, 0.55,2024-08-13 16:07:27
0.85, 0.79, 0.61,2024-08-13 16:07:28
0.24, 0.49, 0.55,2024-08-13 16:07:29
0.24, 0.55, 0.55,2024-08-13 16:07:30
0.18, 0.55, 0.61,2024-08-13 16:07:31
0.00, 0.49, 0.61,2024-08-13 16:07:32
0.43, 0.55, 0.55,2024-08-13 16:07:33
0.43, 0.61, 0.67,2024-08-13 16:07:34
-0.61, 0.12, 0.55,2024-08-13 16:07:35
-0.55, 0.73, 0.00,2024-08-13 16:07:36
-0.98, -0.37, 0.49,2024-08-13 16:07:37
0.06, 0.49, 0.85,2024-08-13 16:07:38
-0.06, 1.10, 0.43,2024-08-13 16:07:39
0.49, 0.43, 0.67,2024-08-13 16:07:40
0.61, 0.67, 0.55,2024-08-13 16:07:41
-0.61, -1.77, 0.92,2024-08-13 16:07:42
0.37, 0.55, 0.55,2024-08-13 16:07:43
0.37, 0.55, 0.61,2024-08-13 16:07:44
0.18, 0.43, 0.55,2024-08-13 16:07:45
0.24, 0.55, 0.55,2024-08-13 16:07:46
0.31, 0.49, 0.55,2024-08-13 16:07:47
0.37, 0.61, 0.55,2024-08-13 16:07:48
-0.31, 0.43, 0.49,2024-08-13 16:07:49
0.18, 0.43, 0.61,2024-08-13 16:07:50
0.55, 0.73, 0.55,2024-08-13 16:07:51
0.37, 0.55, 0.61,2024-08-13 16:07:52
0.24, 0.55, 0.55,2024-08-13 16:07:53
0.49, 0.61, 0.61,2024-08-13 16:07:54
0.31, 0.55, 0.55,2024-08-13 16:07:55
0.31, 0.49, 0.55,2024-08-13 16:07:56
