_id,Timestamp,x,y,z
66c97d6500cbf1ca6a82dc82,2024-08-24 16:27:49.623000,0.49, -0.24, 0.43
66c97d6700cbf1ca6a82dc83,2024-08-24 16:27:51.623000,0.12, 0.61, 0.49
66c97d6900cbf1ca6a82dc84,2024-08-24 16:27:53.627000,0.18, 0.49, 0.49
66c97d6b00cbf1ca6a82dc85,2024-08-24 16:27:55.637000,0.31, 0.31, 0.49
66c97d6d00cbf1ca6a82dc86,2024-08-24 16:27:57.653000,0.24, 0.61, 0.49
66c97d6f00cbf1ca6a82dc87,2024-08-24 16:27:59.661000,0.31, 0.49, 0.49
66c97d7200cbf1ca6a82dc88,2024-08-24 16:28:02.079000,0.31, 0.49, 0.49
66c97d7300cbf1ca6a82dc89,2024-08-24 16:28:03.663000,0.24, 0.55, 0.49
66c97d7500cbf1ca6a82dc8a,2024-08-24 16:28:05.658000,0.18, 1.16, 0.49
66c97d7700cbf1ca6a82dc8b,2024-08-24 16:28:07.669000,0.31, 0.12, 0.43
66c97d7900cbf1ca6a82dc8c,2024-08-24 16:28:09.690000,0.24, 0.31, 0.49
66c97d7b00cbf1ca6a82dc8d,2024-08-24 16:28:11.672000,0.31, 0.43, 0.49
66c97d7d00cbf1ca6a82dc8e,2024-08-24 16:28:13.678000,0.31, 0.49, 0.49
66c97d7f00cbf1ca6a82dc8f,2024-08-24 16:28:15.694000,0.31, 0.43, 0.49
66c97d8100cbf1ca6a82dc90,2024-08-24 16:28:17.708000,0.37, 0.43, 0.55
66c97d8400cbf1ca6a82dc91,2024-08-24 16:28:20.178000,0.31, 0.49, 0.49
66c97d8500cbf1ca6a82dc92,2024-08-24 16:28:21.700000,0.31, 0.31, 0.49
66c97d8700cbf1ca6a82dc93,2024-08-24 16:28:23.702000,0.24, 0.49, 0.49
66c97d8900cbf1ca6a82dc94,2024-08-24 16:28:25.708000,0.31, 0.49, 0.49
66c97d8b00cbf1ca6a82dc95,2024-08-24 16:28:27.716000,0.24, 0.67, 0.49
66c97d8d00cbf1ca6a82dc96,2024-08-24 16:28:29.724000,0.31, 0.49, 0.49
66c97d8f00cbf1ca6a82dc97,2024-08-24 16:28:31.723000,0.31, 0.61, 0.43
66c97d9100cbf1ca6a82dc98,2024-08-24 16:28:33.730000,0.18, 0.37, 0.55
66c97d9300cbf1ca6a82dc99,2024-08-24 16:28:35.734000,0.67, 0.31, 0.49
66c97d9600cbf1ca6a82dc9a,2024-08-24 16:28:38.185000,0.37, -0.67, 0.49
66c97d9700cbf1ca6a82dc9b,2024-08-24 16:28:39.760000,0.24, 0.49, 0.49
66c97d9900cbf1ca6a82dc9c,2024-08-24 16:28:41.750000,0.31, 0.43, 0.49
66c97d9b00cbf1ca6a82dc9d,2024-08-24 16:28:43.758000,0.49, 2.01, 0.55
66c97d9d00cbf1ca6a82dc9e,2024-08-24 16:28:45.766000,0.06, 1.53, 0.49
66c97d9f00cbf1ca6a82dc9f,2024-08-24 16:28:47.780000,0.31, 0.00, 0.49
66c97da100cbf1ca6a82dca0,2024-08-24 16:28:49.767000,0.12, 0.67, 0.37
66c97da300cbf1ca6a82dca1,2024-08-24 16:28:51.776000,-0.24, -0.06, 0.55
66c97da500cbf1ca6a82dca2,2024-08-24 16:28:53.777000,0.31, 0.37, 0.49
66c97da800cbf1ca6a82dca3,2024-08-24 16:28:56.214000,0.31, 0.73, 0.49
66c97da900cbf1ca6a82dca4,2024-08-24 16:28:57.793000,0.31, -5.25, 0.06
66c97dab00cbf1ca6a82dca5,2024-08-24 16:28:59.792000,15.26, 0.98, 0.43
66c97dad00cbf1ca6a82dca6,2024-08-24 16:29:01.805000,0.61, 1.16, 0.67
66c97daf00cbf1ca6a82dca7,2024-08-24 16:29:03.809000,-0.06, 2.20, 0.55
66c97db100cbf1ca6a82dca8,2024-08-24 16:29:05.807000,0.37, 0.24, 0.49
66c97db300cbf1ca6a82dca9,2024-08-24 16:29:07.813000,0.24, -0.67, 0.43
66c97db500cbf1ca6a82dcaa,2024-08-24 16:29:09.817000,-0.31, -1.83, 0.43
66c97db700cbf1ca6a82dcab,2024-08-24 16:29:11.826000,0.37, 1.71, 0.55
66c97dba00cbf1ca6a82dcac,2024-08-24 16:29:14.310000,0.43, 1.10, 0.49
66c97dbb00cbf1ca6a82dcad,2024-08-24 16:29:15.951000,0.49, 1.16, 0.49
66c97dbd00cbf1ca6a82dcae,2024-08-24 16:29:17.839000,0.37, 0.37, 0.49
66c97dbf00cbf1ca6a82dcaf,2024-08-24 16:29:19.844000,0.06, 0.73, 0.55
66c97dc100cbf1ca6a82dcb0,2024-08-24 16:29:21.850000,-0.06, -0.37, 0.55
66c97dc300cbf1ca6a82dcb1,2024-08-24 16:29:23.859000,-0.12, -0.67, 0.55
66c97dc500cbf1ca6a82dcb2,2024-08-24 16:29:25.858000,0.12, 0.18, 0.55
66c97dc700cbf1ca6a82dcb3,2024-08-24 16:29:27.865000,0.61, -0.31, 0.43
66c97dc900cbf1ca6a82dcb4,2024-08-24 16:29:29.868000,0.37, 0.79, 0.00
66c97dcc00cbf1ca6a82dcb5,2024-08-24 16:29:32.254000,-0.43, -0.12, 0.55
66c97dcd00cbf1ca6a82dcb6,2024-08-24 16:29:33.878000,0.55, 0.55, 0.49
66c97dcf00cbf1ca6a82dcb7,2024-08-24 16:29:35.906000,0.24, 0.00, 0.49
66c97dd100cbf1ca6a82dcb8,2024-08-24 16:29:37.893000,0.61, 0.85, 0.55
66c97dd300cbf1ca6a82dcb9,2024-08-24 16:29:39.898000,0.12, 0.67, 0.49
66c97dd500cbf1ca6a82dcba,2024-08-24 16:29:41.903000,0.31, 0.37, 0.49
66c97dd700cbf1ca6a82dcbb,2024-08-24 16:29:43.903000,0.43, 0.85, 0.49
66c97dd900cbf1ca6a82dcbc,2024-08-24 16:29:45.916000,0.18, 0.61, 0.43
66c97ddb00cbf1ca6a82dcbd,2024-08-24 16:29:47.923000,0.61, 0.37, 0.49
66c97dde00cbf1ca6a82dcbe,2024-08-24 16:29:50.379000,0.18, 0.49, 0.49
66c97ddf00cbf1ca6a82dcbf,2024-08-24 16:29:51.929000,0.24, 0.55, 0.49
66c97de100cbf1ca6a82dcc0,2024-08-24 16:29:53.939000,0.00, 0.43, 0.49
66c97de300cbf1ca6a82dcc1,2024-08-24 16:29:55.934000,0.31, 0.37, 0.49
66c97de500cbf1ca6a82dcc2,2024-08-24 16:29:57.949000,0.18, 0.67, 0.49
66c97de700cbf1ca6a82dcc3,2024-08-24 16:29:59.948000,-0.24, -0.43, 0.49
66c97de900cbf1ca6a82dcc4,2024-08-24 16:30:01.951000,-0.12, 1.22, 0.49
66c97deb00cbf1ca6a82dcc5,2024-08-24 16:30:03.954000,0.37, 0.12, 0.43
66c97ded00cbf1ca6a82dcc6,2024-08-24 16:30:05.959000,0.31, 0.43, 0.49
66c97df000cbf1ca6a82dcc7,2024-08-24 16:30:08.504000,0.31, 0.49, 0.49
66c97df100cbf1ca6a82dcc8,2024-08-24 16:30:09.970000,0.31, 0.55, 0.49
66c97df300cbf1ca6a82dcc9,2024-08-24 16:30:11.976000,0.06, 0.18, 0.49
66c97df500cbf1ca6a82dcca,2024-08-24 16:30:13.981000,0.49, 0.31, 0.49
66c97df800cbf1ca6a82dccb,2024-08-24 16:30:16.007000,0.49, 0.43, 0.49
66c97df900cbf1ca6a82dccc,2024-08-24 16:30:17.992000,1.46, -0.73, 0.37
66c97dfb00cbf1ca6a82dccd,2024-08-24 16:30:19.996000,1.16, 1.65, -0.37
66c97dfe00cbf1ca6a82dcce,2024-08-24 16:30:22.005000,0.43, 0.79, 0.43
66c97e0000cbf1ca6a82dccf,2024-08-24 16:30:24.010000,-0.43, 0.18, 0.55
66c97e0200cbf1ca6a82dcd0,2024-08-24 16:30:26.438000,0.79, 0.61, 0.49
66c97e0400cbf1ca6a82dcd1,2024-08-24 16:30:28.019000,0.06, 0.55, 0.49
66c97e0600cbf1ca6a82dcd2,2024-08-24 16:30:30.020000,-0.06, 0.49, 0.49
66c97e0800cbf1ca6a82dcd3,2024-08-24 16:30:32.028000,-0.67, 2.75, 0.61
66c97e0a00cbf1ca6a82dcd4,2024-08-24 16:30:34.031000,11.96, 10.01, -2.01
66c97e0c00cbf1ca6a82dcd5,2024-08-24 16:30:36.039000,0.31, -1.22, 0.37
66c97e0e00cbf1ca6a82dcd6,2024-08-24 16:30:38.044000,0.49, 0.43, 0.49
66c97e1000cbf1ca6a82dcd7,2024-08-24 16:30:40.046000,0.31, 0.43, 0.49
66c97e1200cbf1ca6a82dcd8,2024-08-24 16:30:42.056000,0.49, 0.43, 0.49
66c97e1400cbf1ca6a82dcd9,2024-08-24 16:30:44.449000,-0.24, 0.55, 0.49
66c97e1600cbf1ca6a82dcda,2024-08-24 16:30:46.061000,0.12, 0.55, 0.49
66c97e1800cbf1ca6a82dcdb,2024-08-24 16:30:48.067000,0.06, 0.79, 0.49
66c97e1a00cbf1ca6a82dcdc,2024-08-24 16:30:50.084000,-32.47, 39.25, 24.90
66c97e1c00cbf1ca6a82dcdd,2024-08-24 16:30:52.077000,0.24, 0.98, 0.49
66c97e1e00cbf1ca6a82dcde,2024-08-24 16:30:54.094000,0.31, 0.37, 0.49
66c97e2000cbf1ca6a82dcdf,2024-08-24 16:30:56.093000,-0.31, 4.21, 0.61
66c97e2200cbf1ca6a82dce0,2024-08-24 16:30:58.095000,7.75, -0.55, 38.82
66c97e2400cbf1ca6a82dce1,2024-08-24 16:31:00.096000,0.92, 0.06, 0.49
66c97e2600cbf1ca6a82dce2,2024-08-24 16:31:02.468000,0.06, 0.73, 0.55
66c97e2800cbf1ca6a82dce3,2024-08-24 16:31:04.114000,0.67, 0.43, 0.49
66c97e2a00cbf1ca6a82dce4,2024-08-24 16:31:06.119000,0.24, 0.43, 0.49
66c97e2c00cbf1ca6a82dce5,2024-08-24 16:31:08.120000,0.12, 1.28, 0.49
66c97e2e00cbf1ca6a82dce6,2024-08-24 16:31:10.127000,0.12, 0.55, 0.49
66c97e3000cbf1ca6a82dce7,2024-08-24 16:31:12.128000,0.73, 0.06, 0.49
66c97e3200cbf1ca6a82dce8,2024-08-24 16:31:14.136000,0.31, 0.37, 0.49
